chain,parameter,method,estimate,batch_means_se,n_regression_rows
4,omega_2,ZV thinned OLS,0.2518074826269375,0.0013138194546844443,438
4,omega_2,ZV block OLS,0.2517101817699576,0.0005103095886616419,43
4,omega_3,MC,0.5602566522748769,0.004435795021416198,3500
4,omega_3,ZV naive OLS,0.5555908142519813,0.0012203153854956775,3500
4,omega_3,ZV split chain,0.5568723197930123,0.0013040484911589398,1750
4,omega_3,ZV thinned OLS,0.5554470601950497,0.0011656460474647583,438
4,omega_3,ZV block OLS,0.5550880593523019,0.000760977077576912,43
5,omega_1,MC,0.1406505547579052,0.0023346172012092175,3500
5,omega_1,ZV naive OLS,0.1399625397422216,0.0007639003162333991,3500
5,omega_1,ZV split chain,0.14046925808810254,0.0012831436646786726,1750
5,omega_1,ZV thinned OLS,0.1397121059179863,0.0007344439223061084,438
5,omega_1,ZV block OLS,0.1396435852946033,0.0004562154997224615,43
5,omega_2,MC,0.2537503512774309,0.0027674651514562605,3500
5,omega_2,ZV naive OLS,0.250154105507949,0.0011317963868131555,3500
5,omega_2,ZV split chain,0.2509261906060797,0.0016167115408485238,1750
5,omega_2,ZV thinned OLS,0.24911735897204557,0.0010711426859021248,438
5,omega_2,ZV block OLS,0.24967222388399385,0.0006017075006868466,43
5,omega_3,MC,0.5510876436582413,0.004328273138167997,3500
5,omega_3,ZV naive OLS,0.5538024128875991,0.0013888085564940805,3500
5,omega_3,ZV split chain,0.5522399254735161,0.0023302590918833836,1750
5,omega_3,ZV thinned OLS,0.5548690963940721,0.0011817777510954965,438
5,omega_3,ZV block OLS,0.5544794784952627,0.0010277909488428175,43
6,omega_1,MC,0.13750776835584166,0.0024170666923091695,3500
6,omega_1,ZV naive OLS,0.1403143387302339,0.0008613509023144561,3500
6,omega_1,ZV split chain,0.14078582796149883,0.001852331827604343,1750
6,omega_1,ZV thinned OLS,0.14063165310123907,0.00047613230407706993,438
6,omega_1,ZV block OLS,0.14075011935613108,0.0006972812099766974,43
6,omega_2,MC,0.2563464262821627,0.003301602616928232,3500
6,omega_2,ZV naive OLS,0.2509298244415941,0.0009349616126002261,3500
6,omega_2,ZV split chain,0.2520247149188238,0.0019038759568874876,1750
6,omega_2,ZV thinned OLS,0.2509055323463994,0.0012504048007074677,438
6,omega_2,ZV block OLS,0.2500362848366867,0.0016124148482416294,43
6,omega_3,MC,0.5538151487971303,0.005104745205946666,3500
6,omega_3,ZV naive OLS,0.5528448619052284,0.0014515155322636986,3500
6,omega_3,ZV split chain,0.5518946023307536,0.003012271518717499,1750
6,omega_3,ZV thinned OLS,0.5519889349670613,0.0009824540352160781,438
6,omega_3,ZV block OLS,0.5524409559128213,0.000925563436256869,43
7,omega_1,MC,0.14380791547497895,0.0034225748111422964,3500
7,omega_1,ZV naive OLS,0.14078631591366314,0.0009382186107197652,3500
7,omega_1,ZV split chain,0.14241947005956643,0.0021661518584756507,1750
7,omega_1,ZV thinned OLS,0.14040287508466578,0.0012211990343230054,438
7,omega_1,ZV block OLS,0.14055995191078957,0.0009902184511852417,43
7,omega_2,MC,0.2525458425283841,0.003027457187234674,3500
7,omega_2,ZV naive OLS,0.24951922569671148,0.0011421145455773043,3500
7,omega_2,ZV split chain,0.25042859703836307,0.0019227347993279026,1750
7,omega_2,ZV thinned OLS,0.2495354272484749,0.0009381534831550244,438
7,omega_2,ZV block OLS,0.2492852913451021,0.0007648116469113771,43
7,omega_3,MC,0.5458065377903304,0.005584775866418249,3500
7,omega_3,ZV naive OLS,0.5531057049762602,0.0016261639342242487,3500
7,omega_3,ZV split chain,0.5498850310734633,0.0035004736521911496,1750
7,omega_3,ZV thinned OLS,0.5536959176284723,0.0021788120328939727,438
7,omega_3,ZV block OLS,0.553693843515824,0.0018382726077812318,43
8,omega_1,MC,0.143008627626708,0.0026786659865189306,3500
8,omega_1,ZV naive OLS,0.14063041371911167,0.0005480914653428183,3500
8,omega_1,ZV split chain,0.13991861796306865,0.0008476904598256843,1750
8,omega_1,ZV thinned OLS,0.14066171664356478,0.000744580644231853,438
8,omega_1,ZV block OLS,0.14055801493484105,0.00039969156002952913,43
8,omega_2,MC,0.24831492444740824,0.0030614784691592057,3500
8,omega_2,ZV naive OLS,0.24849472410331044,0.0010276418059098126,3500
8,omega_2,ZV split chain,0.2503107923364621,0.0017266487512846607,1750
8,omega_2,ZV thinned OLS,0.24846935834422773,0.0010073511889792165,438
8,omega_2,ZV block OLS,0.24870102055161647,0.00045322816363826875,43
8,omega_3,MC,0.5522923917785729,0.004897925824848492,3500
8,omega_3,ZV naive OLS,0.5536273199382221,0.0008139648044009246,3500
8,omega_3,ZV split chain,0.5537544686601384,0.001020941887660759,1750
8,omega_3,ZV thinned OLS,0.5536263032926508,0.0008803543074253273,438
8,omega_3,ZV block OLS,0.553644240908221,0.0006231290146738912,43
9,omega_1,MC,0.14371939432668868,0.0022708969498132212,3500
9,omega_1,ZV naive OLS,0.13947919924789845,0.0004738143259970239,3500
9,omega_1,ZV split chain,0.14015692458182108,0.0008061221317399093,1750
9,omega_1,ZV thinned OLS,0.13953744056196607,0.0005917545073443557,438
9,omega_1,ZV block OLS,0.1394062574677539,0.0003811065715277093,43
9,omega_2,MC,0.24721539077781066,0.0024643673513070627,3500
9,omega_2,ZV naive OLS,0.24769062829670216,0.0007637204582791646,3500
9,omega_2,ZV split chain,0.248289107164177,0.0013130378294079008,1750
9,omega_2,ZV thinned OLS,0.24732100648049404,0.0006702450780829521,438
9,omega_2,ZV block OLS,0.24792790386063562,0.0003307846169660768,43
9,omega_3,MC,0.5487854251948759,0.0035340009156878244,3500
9,omega_3,ZV naive OLS,0.5556154020454619,0.0009783137686742664,3500
9,omega_3,ZV split chain,0.5539975243019954,0.0015345206192622482,1750
9,omega_3,ZV thinned OLS,0.5557426447239397,0.001240625636200355,438
9,omega_3,ZV block OLS,0.5556735838664324,0.0007452112006418778,43
10,omega_1,MC,0.13874120722499123,0.0019222499021855275,3500
10,omega_1,ZV naive OLS,0.13864509315531626,0.0003754858126980807,3500
10,omega_1,ZV split chain,0.13816978353728251,0.0005081955770432596,1750
10,omega_1,ZV thinned OLS,0.13914308697197286,0.0002965397507202858,438
10,omega_1,ZV block OLS,0.13879292674758073,0.000453434745483958,43
10,omega_2,MC,0.24748241603041365,0.002627754695397299,3500
10,omega_2,ZV naive OLS,0.24741296828106202,0.0006801413898898294,3500
10,omega_2,ZV split chain,0.2484926600247484,0.001121050037075372,1750
10,omega_2,ZV thinned OLS,0.2476252366814727,0.0008661246276108622,438
10,omega_2,ZV block OLS,0.24715829190828098,0.0006617722122579982,43
10,omega_3,MC,0.5583692559771616,0.003179421680093204,3500
10,omega_3,ZV naive OLS,0.557472976441271,0.0007270500726255024,3500
10,omega_3,ZV split chain,0.5579302321745863,0.0009512493618424757,1750
10,omega_3,ZV thinned OLS,0.5562432572419697,0.0006020045386747608,438
10,omega_3,ZV block OLS,0.5573142769820852,0.0008099427754306622,43
